Var1,Var2,Correlation
person_age,cb_person_cred_hist_length,0.8046945748564278
loan_amnt,loan_percent_income,0.6548875218971375
cb_person_default_on_file,loan_grade,0.6328419959584966
loan_grade,cb_person_default_on_file,0.6328419959584964
loan_grade,loan_int_rate,0.5023935884507276
person_income,loan_amnt,0.407376284251839
person_income,loan_percent_income,-0.36462021567681474
loan_int_rate,loan_status,0.3200622053575606
person_home_ownership,person_income,0.318013488740654
loan_status,loan_percent_income,0.3151639411351431
person_income,loan_status,-0.2710989027743345
person_income,person_emp_length,0.20913826546094336
person_age,person_income,0.14499619405487796
cb_person_default_on_file,loan_int_rate,0.13914869789650786
loan_int_rate,loan_percent_income,0.12421659278284708
loan_grade,person_income,0.11346236986910249
loan_amnt,loan_int_rate,0.10630650242151643
person_emp_length,loan_amnt,0.10613813671388707
person_age,person_emp_length,0.10148567773939488
person_emp_length,loan_status,-0.09656257123358697
person_income,cb_person_cred_hist_length,0.09288893644070277
loan_intent,person_home_ownership,0.08791658221256334
person_home_ownership,loan_intent,0.08791658221256332
person_home_ownership,loan_grade,0.08625903824268322
loan_grade,person_home_ownership,0.08625903824268322
loan_amnt,loan_status,0.08509918786450257
loan_intent,person_income,0.0768141624948463
person_emp_length,cb_person_cred_hist_length,0.06655830978456458
person_age,loan_amnt,0.06626947840698007
person_home_ownership,cb_person_default_on_file,0.06592163249568703
cb_person_default_on_file,person_home_ownership,0.06592163249568701
person_emp_length,loan_int_rate,-0.06562235800769695
person_emp_length,loan_percent_income,-0.058718525496164096
loan_grade,loan_status,0.05846623116557634
person_age,loan_percent_income,-0.05631689709302709
loan_amnt,cb_person_cred_hist_length,0.044696905292651655
loan_percent_income,cb_person_cred_hist_length,-0.034808720129104
person_income,loan_int_rate,-0.03428299876721696
person_age,loan_status,-0.03234485435089999
person_home_ownership,loan_status,0.031203402456351934
cb_person_default_on_file,person_income,0.026979196209670913
cb_person_default_on_file,loan_status,0.02313604603480057
loan_status,cb_person_cred_hist_length,-0.02271508448912486
person_home_ownership,person_emp_length,0.020848860841060354
loan_intent,loan_grade,0.016688562190336306
loan_grade,loan_intent,0.016688562190336303
loan_int_rate,cb_person_cred_hist_length,0.013968281580437104
person_age,loan_int_rate,0.012218490601267479
loan_intent,person_age,0.011950437712242148
loan_grade,loan_amnt,0.010439729754885836
loan_intent,cb_person_default_on_file,0.009931499333439998
cb_person_default_on_file,loan_intent,0.009931499333439998
loan_intent,loan_status,0.00877123052686421
person_home_ownership,loan_int_rate,0.007130163329433623
person_home_ownership,loan_amnt,0.00658527649432096
person_home_ownership,loan_percent_income,0.006442495878459347
cb_person_default_on_file,cb_person_cred_hist_length,0.005864597296532528
cb_person_default_on_file,loan_percent_income,0.005461183961943805
cb_person_default_on_file,loan_amnt,0.004903656074377295
person_home_ownership,person_age,0.004248202554264728
loan_grade,loan_percent_income,0.00370817347826601
loan_intent,loan_amnt,0.002856068816771117
loan_intent,loan_int_rate,0.0022771586699351057
loan_intent,cb_person_cred_hist_length,0.0022353444760674643
loan_grade,person_emp_length,0.002021214143735016
loan_grade,cb_person_cred_hist_length,0.0016110964838369811
loan_intent,loan_percent_income,0.0009463109262908635
loan_grade,person_age,0.0003496964983507655
cb_person_default_on_file,person_age,0.0
cb_person_default_on_file,person_emp_length,0.0
loan_intent,person_emp_length,0.0
person_home_ownership,cb_person_cred_hist_length,0.0
