Statistic,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
count,32581.0,32581.0,,31686.0,,,32581.0,29465.0,,32572.0,,32581.0
mean,27.73459992019889,66074.84846996715,,4.789686296787225,,,9589.371105859243,11.011694834508658,,0.17025052203070434,,5.804211043246064
std,6.348078419225359,61983.11916815907,,4.1426301488878625,,,6322.086645792259,3.2404594759839247,,0.10675901467069454,,4.055001164712727
min,20.0,4000.0,,0.0,,,500.0,5.420000076293945,,0.009999999776482582,,2.0
25%,23.0,38500.0,,2.0,,,5000.0,7.900000095367432,,0.09000000357627869,,3.0
50%,26.0,55000.0,,4.0,,,8000.0,10.989999771118164,,0.15000000596046448,,4.0
75%,30.0,79200.0,,7.0,,,12200.0,13.470000267028809,,0.23000000417232513,,8.0
max,144.0,6000000.0,,123.0,,,35000.0,23.219999313354492,,0.8299999833106995,,30.0
skewness,2.5813925261849846,32.865348833904434,,2.6144551214595424,,,1.1924774277661998,0.208550355322592,,1.0654416771611428,,1.6617901199126253
kurtosis,18.560824765312866,2693.272775674123,,43.722338216746564,,,1.4235653072764443,-0.6716090778773895,,1.2247909141204727,,3.7161938192947908
5%,22.0,22880.0,,0.0,,,2000.0,6.03000020980835,,0.03999999910593033,,2.0
95%,40.0,138000.0,,13.0,,,24000.0,16.31999969482422,,0.3799999952316284,,14.0
missing_values,0.0,0.0,0.0,895.0,0.0,0.0,0.0,3116.0,0.0,9.0,0.0,0.0
missing_percentage,0.0,0.0,0.0,2.7469997851508547,0.0,0.0,0.0,9.563856235229121,0.0,0.02762346152665664,0.0,0.0
distinct_count,58.0,4295.0,4.0,36.0,6.0,7.0,753.0,348.0,2.0,76.0,2.0,29.0
distinct_percentage,0.17801786317178722,13.18252969522114,,0.11049384610662656,,,2.3111629477302724,1.0681071790307235,,0.23326478622510052,,0.08900893158589361
zero_values,0.0,0.0,,4105.0,,,0.0,0.0,,0.0,,0.0
zero_percentage,0.0,0.0,,12.59936772965839,,,0.0,0.0,,0.0,,0.0
range,124.0,5996000.0,,123.0,,,34500.0,17.799999237060547,,0.8199999835342169,,28.0
iqr,7.0,40700.0,,5.0,,,7200.0,5.570000171661377,,0.14000000059604645,,5.0
variance,40.29809961663474,3841907061.8142085,,17.161384550474676,,,39968779.556904815,10.500577615494013,,0.011397487213457572,,16.44303444582157
sum,903621.0,2152784638.0,,151766.0,,,312431300.0,324459.5882987976,,5545.400003584102,,189107.0
