,Cluster 0,Cluster 1,Cluster 2
person_age - mean,25.58368837492392,33.38165236051502,23.643523702874205
person_age - std,4.121835715507277,6.536183411499386,1.5032247256437639
person_age - min,20.0,24.0,20.0
person_age - max,73.0,80.0,28.0
person_age - count,14787.0,9320.0,5358.0
person_income - mean,58598.29485358761,80613.20987124463,61120.765397536394
person_income - std,36273.66826133519,94577.6616371505,36556.29751261088
person_income - min,4000.0,9600.0,8000.0
person_income - max,780000.0,6000000.0,500000.0
person_income - count,14787.0,9320.0,5358.0
person_emp_length - mean,3.6188543991343747,6.498605150214592,4.8938036580813735
person_emp_length - std,3.230806075722608,4.988429383485355,2.6342814803233985
person_emp_length - min,0.0,0.0,0.0
person_emp_length - max,50.0,41.0,50.0
person_emp_length - count,14787.0,9320.0,5358.0
loan_amnt - mean,6545.602556299452,11772.368562231759,14166.8906308324
loan_amnt - std,4446.671423247867,6492.481060153269,6058.295552888069
loan_amnt - min,500.0,1000.0,2100.0
loan_amnt - max,35000.0,35000.0,35000.0
loan_amnt - count,14787.0,9320.0,5358.0
loan_int_rate - mean,10.53083113545682,10.99435407725322,12.368945502053004
loan_int_rate - std,3.212769087250174,3.3474654885562853,2.700023318025355
loan_int_rate - min,5.42,5.42,5.42
loan_int_rate - max,22.11,23.22,22.11
loan_int_rate - count,14787.0,9320.0,5358.0
loan_percent_income - mean,0.12719618583891257,0.1843959227467811,0.26369354236655473
loan_percent_income - std,0.0766278120453034,0.11079621844728993,0.10520662868985398
loan_percent_income - min,0.0,0.0,0.03
loan_percent_income - max,0.71,0.78,0.83
loan_percent_income - count,14787.0,9320.0,5358.0
cb_person_cred_hist_length - mean,4.374044769053898,9.6362660944206,2.9977603583426653
cb_person_cred_hist_length - std,2.7517091129381077,4.066130853268427,0.8267929278305235
cb_person_cred_hist_length - min,2.0,3.0,2.0
cb_person_cred_hist_length - max,29.0,30.0,5.0
cb_person_cred_hist_length - count,14787.0,9320.0,5358.0
