person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,affected_features
22,12600,MORTGAGE,4.0,PERSONAL,A,2000,5.42,1,0.16,N,4,person_emp_length
24,185000,MORTGAGE,4.0,EDUCATION,B,35000,12.42,0,0.19,N,2,person_emp_length
25,52000,RENT,4.0,PERSONAL,B,24000,10.74,1,0.46,N,2,person_emp_length
22,17352,MORTGAGE,4.0,EDUCATION,C,2250,15.27,0,0.13,Y,3,person_emp_length
22,18000,OWN,4.0,VENTURE,B,2000,11.49,0,0.11,N,3,person_emp_length
21,18000,OWN,4.0,EDUCATION,B,5000,11.11,1,0.28,N,2,person_emp_length
24,19200,MORTGAGE,4.0,HOMEIMPROVEMENT,A,7000,5.99,1,0.36,N,4,person_emp_length
21,19253,MORTGAGE,4.0,DEBTCONSOLIDATION,A,6250,6.17,1,0.32,N,3,person_emp_length
24,20856,OWN,4.0,VENTURE,B,10000,10.59,0,0.48,N,4,person_emp_length
21,21600,OWN,4.0,VENTURE,A,7125,6.99,0,0.33,N,3,person_emp_length
22,21600,MORTGAGE,4.0,EDUCATION,A,4025,5.42,0,0.19,N,4,person_emp_length
22,21600,MORTGAGE,4.0,PERSONAL,C,4000,12.99,0,0.19,N,2,person_emp_length
26,21600,OWN,4.0,MEDICAL,B,4200,9.99,0,0.19,N,3,person_emp_length
26,21600,OWN,4.0,VENTURE,A,3000,6.76,0,0.14,N,2,person_emp_length
26,22296,OWN,4.0,PERSONAL,A,5400,5.42,0,0.24,N,3,person_emp_length
22,22800,MORTGAGE,4.0,PERSONAL,C,8300,12.61,1,0.36,Y,2,person_emp_length
25,23000,MORTGAGE,4.0,HOMEIMPROVEMENT,A,4400,6.76,0,0.19,N,2,person_emp_length
23,10000,RENT,4.0,PERSONAL,B,1000,10.37,1,0.1,N,2,person_emp_length
21,10140,RENT,4.0,HOMEIMPROVEMENT,C,1000,13.43,1,0.1,N,4,person_emp_length
23,10500,RENT,4.0,MEDICAL,B,1000,10.25,1,0.1,N,2,person_emp_length
22,11220,RENT,4.0,MEDICAL,C,1000,12.99,0,0.09,N,4,person_emp_length
23,11820,RENT,4.0,DEBTCONSOLIDATION,C,1000,14.65,0,0.08,N,3,person_emp_length
24,13728,RENT,4.0,DEBTCONSOLIDATION,B,1000,10.0,1,0.07,N,4,person_emp_length
24,16800,RENT,4.0,VENTURE,B,1000,11.49,0,0.06,N,3,person_emp_length
22,23964,OWN,4.0,VENTURE,B,2500,9.91,0,0.1,N,2,person_emp_length
25,24000,MORTGAGE,4.0,DEBTCONSOLIDATION,A,5800,5.99,0,0.24,N,3,person_emp_length
25,49200,RENT,4.0,VENTURE,D,18250,14.83,1,0.37,N,3,person_emp_length
21,36000,RENT,4.0,PERSONAL,B,18000,9.88,1,0.5,N,3,person_emp_length
23,24000,OWN,4.0,PERSONAL,B,4200,10.99,0,0.17,N,4,person_emp_length
25,59256,RENT,4.0,MEDICAL,C,17600,12.99,0,0.3,N,2,person_emp_length
24,24468,OWN,4.0,HOMEIMPROVEMENT,B,5000,10.75,0,0.2,N,3,person_emp_length
24,45000,RENT,4.0,EDUCATION,D,17000,14.96,1,0.38,Y,2,person_emp_length
23,25000,OWN,4.0,MEDICAL,C,4000,15.27,0,0.16,Y,4,person_emp_length
25,72000,RENT,4.0,MEDICAL,A,17000,7.88,0,0.24,N,3,person_emp_length
23,25200,MORTGAGE,4.0,MEDICAL,A,1200,7.49,0,0.05,N,3,person_emp_length
25,26000,OWN,4.0,EDUCATION,A,10000,5.79,0,0.38,N,3,person_emp_length
23,30000,RENT,4.0,VENTURE,A,1000,7.49,0,0.03,N,3,person_emp_length
22,36000,RENT,4.0,MEDICAL,B,1000,9.88,0,0.03,N,3,person_emp_length
25,40800,RENT,4.0,DEBTCONSOLIDATION,D,1000,15.57,1,0.02,N,2,person_emp_length
26,64000,RENT,4.0,DEBTCONSOLIDATION,B,1000,10.75,0,0.02,N,3,person_emp_length
25,35000,RENT,4.0,DEBTCONSOLIDATION,A,1100,6.76,0,0.03,N,2,person_emp_length
23,11000,RENT,4.0,EDUCATION,A,1200,6.91,0,0.11,N,3,person_emp_length
21,26784,MORTGAGE,4.0,EDUCATION,A,2000,6.99,1,0.07,N,3,person_emp_length
23,27000,OWN,4.0,EDUCATION,B,5000,10.65,0,0.19,N,4,person_emp_length
26,27000,MORTGAGE,4.0,DEBTCONSOLIDATION,A,3000,5.79,0,0.11,N,3,person_emp_length
23,27000,MORTGAGE,4.0,EDUCATION,B,4000,9.62,0,0.15,N,2,person_emp_length
25,43200,RENT,4.0,VENTURE,B,1200,9.91,0,0.03,N,4,person_emp_length
25,27500,MORTGAGE,4.0,EDUCATION,A,9000,7.49,0,0.33,N,4,person_emp_length
26,45000,RENT,4.0,DEBTCONSOLIDATION,B,1400,10.59,0,0.03,N,4,person_emp_length
21,10000,RENT,4.0,MEDICAL,A,1450,7.51,0,0.14,N,4,person_emp_length
23,27600,MORTGAGE,4.0,EDUCATION,A,9800,7.29,0,0.36,N,4,person_emp_length
25,27800,OWN,4.0,VENTURE,A,14125,6.99,0,0.51,N,4,person_emp_length
25,28000,MORTGAGE,4.0,MEDICAL,A,9600,6.03,0,0.34,N,3,person_emp_length
24,51600,RENT,4.0,HOMEIMPROVEMENT,C,1500,12.61,0,0.03,Y,2,person_emp_length
25,63128,RENT,4.0,VENTURE,A,1500,7.49,0,0.02,N,4,person_emp_length
23,10008,RENT,4.0,DEBTCONSOLIDATION,B,1600,10.36,1,0.16,N,2,person_emp_length
24,28440,MORTGAGE,4.0,MEDICAL,B,6000,9.99,0,0.21,N,3,person_emp_length
21,28776,MORTGAGE,4.0,EDUCATION,A,8000,8.9,0,0.28,N,4,person_emp_length
22,10000,RENT,4.0,DEBTCONSOLIDATION,C,1750,14.72,1,0.17,Y,3,person_emp_length
25,10008,RENT,4.0,VENTURE,A,1750,7.49,1,0.17,N,3,person_emp_length
24,28800,OWN,4.0,EDUCATION,A,7500,8.49,0,0.26,N,2,person_emp_length
26,22584,RENT,4.0,PERSONAL,A,1800,8.49,0,0.08,N,2,person_emp_length
25,28800,MORTGAGE,4.0,EDUCATION,A,1000,5.42,0,0.03,N,3,person_emp_length
22,28800,MORTGAGE,4.0,PERSONAL,B,14500,9.88,0,0.5,N,2,person_emp_length
26,14400,RENT,4.0,MEDICAL,A,2000,6.92,0,0.14,N,4,person_emp_length
24,17616,RENT,4.0,VENTURE,B,2000,10.37,0,0.11,N,2,person_emp_length
24,24000,RENT,4.0,HOMEIMPROVEMENT,B,2000,12.69,1,0.08,N,2,person_emp_length
22,29184,OWN,4.0,MEDICAL,A,1800,5.42,0,0.06,N,4,person_emp_length
22,24702,RENT,4.0,EDUCATION,C,2000,13.23,0,0.08,Y,4,person_emp_length
25,25000,RENT,4.0,VENTURE,B,2000,9.91,0,0.08,N,4,person_emp_length
23,60000,RENT,4.0,MEDICAL,C,2000,13.06,0,0.03,Y,3,person_emp_length
25,30000,MORTGAGE,4.0,EDUCATION,D,10625,16.49,0,0.35,N,4,person_emp_length
23,30000,OWN,4.0,VENTURE,A,7000,7.49,0,0.23,N,3,person_emp_length
22,30000,OWN,4.0,EDUCATION,B,5125,10.0,0,0.17,N,3,person_emp_length
22,30000,OWN,4.0,EDUCATION,A,12000,7.66,0,0.4,N,2,person_emp_length
25,30000,MORTGAGE,4.0,HOMEIMPROVEMENT,A,8000,6.92,0,0.27,N,3,person_emp_length
26,43000,RENT,4.0,PERSONAL,A,2125,8.9,0,0.05,N,3,person_emp_length
24,30000,MORTGAGE,4.0,HOMEIMPROVEMENT,A,8000,6.17,0,0.27,N,2,person_emp_length
22,30000,OWN,4.0,VENTURE,C,7000,13.98,0,0.23,Y,2,person_emp_length
26,14400,RENT,4.0,MEDICAL,B,2350,9.91,1,0.16,N,4,person_emp_length
25,15648,RENT,4.0,EDUCATION,B,2400,11.71,0,0.15,N,4,person_emp_length
21,18000,RENT,4.0,VENTURE,C,2400,14.72,0,0.13,N,2,person_emp_length
22,18000,RENT,4.0,DEBTCONSOLIDATION,C,2400,13.61,0,0.13,Y,3,person_emp_length
24,25000,RENT,4.0,VENTURE,C,2400,13.8,0,0.1,Y,4,person_emp_length
25,95000,RENT,4.0,DEBTCONSOLIDATION,B,2400,9.25,0,0.03,N,2,person_emp_length
21,12000,RENT,4.0,MEDICAL,B,2500,11.99,1,0.21,N,4,person_emp_length
21,12540,RENT,4.0,HOMEIMPROVEMENT,A,2500,7.88,1,0.2,N,2,person_emp_length
24,30996,OWN,4.0,EDUCATION,A,8000,7.51,0,0.26,N,3,person_emp_length
25,31000,MORTGAGE,4.0,HOMEIMPROVEMENT,A,5200,5.42,0,0.17,N,4,person_emp_length
24,39000,RENT,4.0,EDUCATION,B,13000,10.75,1,0.33,N,4,person_emp_length
22,31200,MORTGAGE,4.0,MEDICAL,A,2000,7.29,0,0.06,N,3,person_emp_length
22,31215,OWN,4.0,EDUCATION,B,14000,9.91,0,0.45,N,3,person_emp_length
25,26400,RENT,4.0,EDUCATION,B,2500,10.62,0,0.09,N,2,person_emp_length
25,31500,MORTGAGE,4.0,EDUCATION,A,8250,7.51,0,0.26,N,4,person_emp_length
22,31500,OWN,4.0,VENTURE,A,8000,6.03,0,0.25,N,2,person_emp_length
