A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
0.006997623,0.014598799,0.001680426,-0.009821368,-0.005994211,-0.002036804,-0.002034207,0.01091162,0.0038851,-0.052988835
0.012774884,-0.014598799,0.033901552,-0.000846346,0.005384332,0.010296646,0.026785873,-0.001487085,0.002927528,0.028656045
0.010699867,0.025409716,-0.000710335,-0.004695778,-0.006069458,-0.018420025,-0.03337327,-0.007688981,-0.030046249,0.056936463
-0.026530188,-0.032789823,0.018187075,-0.00283945,-0.002658936,-0.006866325,-0.006056646,-0.024174541,-0.010485628,0.095887355
0.007621158,-0.022472856,-0.000917504,-0.002961448,-0.001245565,0.006135839,0.026387779,-0.000557213,0.033777208,-0.070110414
0.005624068,0,-0.009846172,0.002904301,0.004589627,0.011637951,0.016271433,-2.35E-05,0,-0.00620509
-0.000647319,0.007547206,0,-0.00336149,0.005790275,0,0,0.011579027,0.003346774,0
-0.018297178,0.018622512,-0.01818047,0.0076183,0.004108386,-0.004939278,0.001489501,-0.008101723,0.008048375,0.146984705
-0.004627088,-0.007407441,-0.01415737,-0.004142513,-0.005446473,-0.007324379,-0.042869841,-0.012937351,-0.014300201,-0.031819694
0.018598064,0.011090687,0.009096152,0.006856699,0.004633221,0.010839907,0.022152844,0.016916992,0.007377111,-0.113655121
-0.012213892,-0.011090687,-0.013351389,-0.004754547,0.002568796,-0.003147897,-0.000278066,0.012206255,0.015062506,0.067019687
-0.014143882,-0.011215071,-0.054953688,0.002945744,0.006762548,0.000902144,-0.002089337,0.010230217,0.039188263,0.059070651
-0.021143388,-0.007547206,-0.032911294,-0.002039268,0.001067823,0.001859405,0.00324002,0.005492733,0.00558724,0.017115121
-0.021135636,-0.007604599,-0.016314026,0.0141304,0.010262592,0.018393197,0.033455336,0.038023393,-0.00507158,-0.020537438
0.003476652,0.007604599,0,-0.001118927,8.32E-05,-0.001768932,0.009061372,-0.031742585,-0.013218719,0
-0.005103235,-0.015267472,-0.004767063,-0.001287228,-0.004772425,0.001581169,0.002882113,-0.013465757,-0.020931143,0.03564665
-0.008172842,-0.023347364,-0.024421094,0.008315025,-0.002067485,0.00253329,-0.00927107,0.031771916,0.014173296,-0.032052909
0.013044676,0.019493795,0.018013814,-0.003339991,0.000123011,-0.002738894,0.001036827,0.017288891,-0.033345506,-0.01531163
-0.003245251,0,0.011174343,0,-0.00510962,0.014413739,0.028557196,0.001231786,0.01766354,-0.088951078
0.006941259,0.007692346,0.012197382,0.008218024,0.000370896,0.014210544,0.037464937,0.030090608,0.006121571,-0.013806018
-0.019088103,0.003824096,-0.029678667,0.002540876,-0.000575469,0.002855434,0.001143888,0.000424942,0.00352129,0.034563689
0.02735451,0,0.00183971,-0.006364144,-0.005981669,0.02341564,0.042581901,0.004425753,-0.001840336,-0.114887611
0.006382515,0.015151805,0.039844068,0.008952387,0.006474908,0,0.016638483,0.014263954,-0.014031446,0.076674283
0.013092738,-0.003766483,0.015681838,-0.004963344,-0.003077849,-0.017290472,-0.023793469,-0.040388584,-0.009419183,0.014987282
0.006928176,0,0.007793891,-0.013415344,-0.009220432,-0.024124731,-0.05678894,-0.01916453,-0.017083237,-0.007521718
0.002002448,-0.003780723,0.006086151,0.004417459,0.003578345,0.004085196,-0.01646282,0.02259151,-0.007837547,0.011690642
0.015220322,0,0.010279606,-0.005034409,-0.001912816,0.013628457,0.037445744,-0.023898392,0.007190244,-0.064412798
0.009802932,0.003780723,0.011488038,-0.003819576,-0.000773497,0.000378157,0.028933037,0.013222547,-0.005484762,0.034086664
-0.003256978,0.022388995,-0.001657715,0.003876051,0.008368477,-0.004712128,0.000715543,0.028339804,0.027644493,0.040278012
0.006287284,0.003683245,-0.004664933,0.006260322,0.005877711,0.015181874,0.025987854,0.020888982,0.002522722,-0.011806879
